image_path,overall_grade,centering,corners,edges,surface
data\raw_slabs\synth_01_0000.jpg,1,1.3,1.0,1.0,1.0
data\raw_slabs\synth_01_0001.jpg,1,1.5,1.4,1.8,1.0
data\raw_slabs\synth_01_0002.jpg,1,1.0,1.0,1.0,1.0
data\raw_slabs\synth_01_0003.jpg,1,1.0,1.0,1.3,1.1
data\raw_slabs\synth_01_0004.jpg,1,1.0,1.2,1.6,1.0
data\raw_slabs\synth_01_0005.jpg,1,1.6,1.4,1.0,1.0
data\raw_slabs\synth_01_0006.jpg,1,1.9,1.0,1.0,1.0
data\raw_slabs\synth_01_0007.jpg,1,1.7,1.2,1.6,1.5
data\raw_slabs\synth_01_0008.jpg,1,1.1,1.9,1.0,1.1
data\raw_slabs\synth_01_0009.jpg,1,1.7,1.2,1.7,1.2
data\raw_slabs\synth_01_0010.jpg,1,1.4,1.0,1.0,1.0
data\raw_slabs\synth_01_0011.jpg,1,1.0,1.0,1.0,1.0
data\raw_slabs\synth_01_0012.jpg,1,1.3,1.0,1.0,1.0
data\raw_slabs\synth_01_0013.jpg,1,1.0,1.9,1.3,1.2
data\raw_slabs\synth_01_0014.jpg,1,1.0,1.5,1.0,1.0
data\raw_slabs\synth_01_0015.jpg,1,2.0,1.3,1.1,1.4
data\raw_slabs\synth_01_0016.jpg,1,1.7,1.6,1.0,1.0
data\raw_slabs\synth_01_0017.jpg,1,1.0,1.0,1.0,1.9
data\raw_slabs\synth_01_0018.jpg,1,1.8,1.0,1.3,1.0
data\raw_slabs\synth_01_0019.jpg,1,1.8,1.0,1.0,1.0
data\raw_slabs\synth_02_0000.jpg,2,2.1,1.5,2.2,2.8
data\raw_slabs\synth_02_0001.jpg,2,1.8,1.4,3.0,2.0
data\raw_slabs\synth_02_0002.jpg,2,1.2,1.1,1.2,2.3
data\raw_slabs\synth_02_0003.jpg,2,2.6,1.8,1.1,1.8
data\raw_slabs\synth_02_0004.jpg,2,3.0,2.1,2.9,2.7
data\raw_slabs\synth_02_0005.jpg,2,1.0,2.4,2.4,2.1
data\raw_slabs\synth_02_0006.jpg,2,1.5,2.3,1.2,1.9
data\raw_slabs\synth_02_0007.jpg,2,1.9,2.9,2.8,1.5
data\raw_slabs\synth_02_0008.jpg,2,2.0,1.4,2.8,2.7
data\raw_slabs\synth_02_0009.jpg,2,1.6,2.3,2.2,1.3
data\raw_slabs\synth_02_0010.jpg,2,2.5,2.1,2.6,2.1
data\raw_slabs\synth_02_0011.jpg,2,1.0,1.6,1.0,2.9
data\raw_slabs\synth_02_0012.jpg,2,2.8,2.7,1.6,1.1
data\raw_slabs\synth_02_0013.jpg,2,2.8,2.9,1.2,2.0
data\raw_slabs\synth_02_0014.jpg,2,1.1,2.5,2.5,1.3
data\raw_slabs\synth_02_0015.jpg,2,2.0,2.1,1.5,2.7
data\raw_slabs\synth_02_0016.jpg,2,1.8,1.4,2.1,2.5
data\raw_slabs\synth_02_0017.jpg,2,1.4,1.6,3.0,2.3
data\raw_slabs\synth_02_0018.jpg,2,1.9,2.0,1.2,1.4
data\raw_slabs\synth_02_0019.jpg,2,1.7,2.2,1.5,1.4
data\raw_slabs\synth_03_0000.jpg,3,2.1,3.3,2.5,3.8
data\raw_slabs\synth_03_0001.jpg,3,3.7,2.1,2.5,3.3
data\raw_slabs\synth_03_0002.jpg,3,2.4,2.3,3.9,3.1
data\raw_slabs\synth_03_0003.jpg,3,2.9,3.6,3.6,2.4
data\raw_slabs\synth_03_0004.jpg,3,2.2,2.9,2.8,2.9
data\raw_slabs\synth_03_0005.jpg,3,3.5,3.3,4.0,2.2
data\raw_slabs\synth_03_0006.jpg,3,2.8,2.7,3.7,2.5
data\raw_slabs\synth_03_0007.jpg,3,2.4,2.9,2.8,2.6
data\raw_slabs\synth_03_0008.jpg,3,2.5,3.8,2.9,3.7
data\raw_slabs\synth_03_0009.jpg,3,3.1,2.1,4.0,3.7
data\raw_slabs\synth_03_0010.jpg,3,3.9,3.9,3.7,2.3
data\raw_slabs\synth_03_0011.jpg,3,3.0,2.4,2.8,2.1
data\raw_slabs\synth_03_0012.jpg,3,2.8,4.0,2.5,3.6
data\raw_slabs\synth_03_0013.jpg,3,2.9,2.8,3.9,4.0
data\raw_slabs\synth_03_0014.jpg,3,3.1,3.4,2.3,2.6
data\raw_slabs\synth_03_0015.jpg,3,3.9,3.2,3.1,3.5
data\raw_slabs\synth_03_0016.jpg,3,2.1,3.2,3.0,3.7
data\raw_slabs\synth_03_0017.jpg,3,2.3,3.9,2.2,2.4
data\raw_slabs\synth_03_0018.jpg,3,3.2,3.4,2.5,2.2
data\raw_slabs\synth_03_0019.jpg,3,3.8,2.5,3.2,3.2
data\raw_slabs\synth_04_0000.jpg,4,3.8,4.2,4.0,4.9
data\raw_slabs\synth_04_0001.jpg,4,3.4,4.4,3.5,3.8
data\raw_slabs\synth_04_0002.jpg,4,4.3,3.6,3.6,4.5
data\raw_slabs\synth_04_0003.jpg,4,3.1,3.9,5.0,5.0
data\raw_slabs\synth_04_0004.jpg,4,3.1,3.4,3.5,4.9
data\raw_slabs\synth_04_0005.jpg,4,4.8,4.8,3.7,3.3
data\raw_slabs\synth_04_0006.jpg,4,4.7,4.4,4.2,5.0
data\raw_slabs\synth_04_0007.jpg,4,4.3,3.0,4.6,3.6
data\raw_slabs\synth_04_0008.jpg,4,4.3,4.9,3.3,3.2
data\raw_slabs\synth_04_0009.jpg,4,3.2,4.1,3.5,4.2
data\raw_slabs\synth_04_0010.jpg,4,4.4,3.4,4.3,3.5
data\raw_slabs\synth_04_0011.jpg,4,4.0,4.8,4.7,3.2
data\raw_slabs\synth_04_0012.jpg,4,3.8,3.6,3.0,4.5
data\raw_slabs\synth_04_0013.jpg,4,4.3,3.5,4.5,4.1
data\raw_slabs\synth_04_0014.jpg,4,3.9,3.0,3.2,4.8
data\raw_slabs\synth_04_0015.jpg,4,4.8,4.1,4.7,4.2
data\raw_slabs\synth_04_0016.jpg,4,3.3,3.3,3.6,4.8
data\raw_slabs\synth_04_0017.jpg,4,4.6,4.7,4.8,3.4
data\raw_slabs\synth_04_0018.jpg,4,3.5,3.2,4.6,4.8
data\raw_slabs\synth_04_0019.jpg,4,3.8,4.2,3.3,4.9
data\raw_slabs\synth_05_0000.jpg,5,5.7,6.0,5.6,5.8
data\raw_slabs\synth_05_0001.jpg,5,4.0,5.5,4.7,5.9
data\raw_slabs\synth_05_0002.jpg,5,5.6,5.7,5.6,4.5
data\raw_slabs\synth_05_0003.jpg,5,5.6,4.2,5.7,5.7
data\raw_slabs\synth_05_0004.jpg,5,4.4,5.6,4.9,4.6
data\raw_slabs\synth_05_0005.jpg,5,5.6,4.5,4.0,4.4
data\raw_slabs\synth_05_0006.jpg,5,4.7,5.7,5.9,4.6
data\raw_slabs\synth_05_0007.jpg,5,5.3,4.8,6.0,5.1
data\raw_slabs\synth_05_0008.jpg,5,5.9,4.2,5.9,4.4
data\raw_slabs\synth_05_0009.jpg,5,5.9,4.5,4.2,4.9
data\raw_slabs\synth_05_0010.jpg,5,5.5,4.6,5.2,5.0
data\raw_slabs\synth_05_0011.jpg,5,4.8,5.2,4.5,5.4
data\raw_slabs\synth_05_0012.jpg,5,4.0,5.9,5.1,5.4
data\raw_slabs\synth_05_0013.jpg,5,5.5,5.3,4.7,4.1
data\raw_slabs\synth_05_0014.jpg,5,5.3,4.7,4.6,5.7
data\raw_slabs\synth_05_0015.jpg,5,5.4,4.6,4.6,4.8
data\raw_slabs\synth_05_0016.jpg,5,4.8,4.6,4.3,4.8
data\raw_slabs\synth_05_0017.jpg,5,5.9,5.4,5.8,5.2
data\raw_slabs\synth_05_0018.jpg,5,4.6,5.1,4.0,4.6
data\raw_slabs\synth_05_0019.jpg,5,4.9,5.2,5.3,4.9
data\raw_slabs\synth_06_0000.jpg,6,5.9,5.4,5.9,6.8
data\raw_slabs\synth_06_0001.jpg,6,6.6,5.3,5.2,6.0
data\raw_slabs\synth_06_0002.jpg,6,6.3,5.7,6.6,6.5
data\raw_slabs\synth_06_0003.jpg,6,6.3,5.4,5.4,5.0
data\raw_slabs\synth_06_0004.jpg,6,5.5,6.0,6.7,5.1
data\raw_slabs\synth_06_0005.jpg,6,5.8,6.3,5.4,6.4
data\raw_slabs\synth_06_0006.jpg,6,6.0,5.5,6.3,5.0
data\raw_slabs\synth_06_0007.jpg,6,6.5,6.5,5.2,5.9
data\raw_slabs\synth_06_0008.jpg,6,5.4,6.9,6.0,5.1
data\raw_slabs\synth_06_0009.jpg,6,5.5,6.7,5.9,6.6
data\raw_slabs\synth_06_0010.jpg,6,6.3,7.0,6.2,6.9
data\raw_slabs\synth_06_0011.jpg,6,6.8,6.2,6.4,6.0
data\raw_slabs\synth_06_0012.jpg,6,6.7,6.1,6.8,6.5
data\raw_slabs\synth_06_0013.jpg,6,5.9,5.5,5.5,6.3
data\raw_slabs\synth_06_0014.jpg,6,6.5,6.0,6.3,5.5
data\raw_slabs\synth_06_0015.jpg,6,5.2,5.6,5.5,5.6
data\raw_slabs\synth_06_0016.jpg,6,6.1,5.3,5.5,6.4
data\raw_slabs\synth_06_0017.jpg,6,6.4,5.1,5.8,6.1
data\raw_slabs\synth_06_0018.jpg,6,5.8,5.4,5.8,6.8
data\raw_slabs\synth_06_0019.jpg,6,6.2,6.4,6.7,6.5
data\raw_slabs\synth_07_0000.jpg,7,6.8,6.0,6.7,7.5
data\raw_slabs\synth_07_0001.jpg,7,7.7,7.9,6.8,7.5
data\raw_slabs\synth_07_0002.jpg,7,7.1,7.2,6.4,6.4
data\raw_slabs\synth_07_0003.jpg,7,6.9,6.1,6.7,7.4
data\raw_slabs\synth_07_0004.jpg,7,6.8,6.3,6.9,6.3
data\raw_slabs\synth_07_0005.jpg,7,7.2,6.1,6.8,7.1
data\raw_slabs\synth_07_0006.jpg,7,6.1,7.3,6.3,6.9
data\raw_slabs\synth_07_0007.jpg,7,6.1,6.8,6.4,6.7
data\raw_slabs\synth_07_0008.jpg,7,7.5,6.8,7.5,7.7
data\raw_slabs\synth_07_0009.jpg,7,6.5,6.2,6.0,7.1
data\raw_slabs\synth_07_0010.jpg,7,8.0,6.7,7.3,7.6
data\raw_slabs\synth_07_0011.jpg,7,7.3,7.5,7.9,6.4
data\raw_slabs\synth_07_0012.jpg,7,6.0,6.3,6.3,7.3
data\raw_slabs\synth_07_0013.jpg,7,7.1,6.4,7.4,7.5
data\raw_slabs\synth_07_0014.jpg,7,6.3,7.2,7.5,6.2
data\raw_slabs\synth_07_0015.jpg,7,7.6,7.9,6.2,6.1
data\raw_slabs\synth_07_0016.jpg,7,6.6,7.4,7.9,6.8
data\raw_slabs\synth_07_0017.jpg,7,7.4,6.2,7.4,7.3
data\raw_slabs\synth_07_0018.jpg,7,6.2,7.5,7.7,7.2
data\raw_slabs\synth_07_0019.jpg,7,6.2,8.0,7.6,6.7
data\raw_slabs\synth_08_0000.jpg,8,7.9,7.7,8.0,7.7
data\raw_slabs\synth_08_0001.jpg,8,8.7,8.6,7.2,8.9
data\raw_slabs\synth_08_0002.jpg,8,8.3,8.7,8.4,7.9
data\raw_slabs\synth_08_0003.jpg,8,8.5,8.9,7.5,8.6
data\raw_slabs\synth_08_0004.jpg,8,8.1,8.0,7.9,8.5
data\raw_slabs\synth_08_0005.jpg,8,7.5,8.7,8.7,7.2
data\raw_slabs\synth_08_0006.jpg,8,8.8,7.5,7.9,8.2
data\raw_slabs\synth_08_0007.jpg,8,7.8,7.1,8.7,7.4
data\raw_slabs\synth_08_0008.jpg,8,7.4,8.6,7.7,8.8
data\raw_slabs\synth_08_0009.jpg,8,8.4,7.6,7.0,8.9
data\raw_slabs\synth_08_0010.jpg,8,7.2,8.4,8.0,8.5
data\raw_slabs\synth_08_0011.jpg,8,8.4,8.3,8.0,8.6
data\raw_slabs\synth_08_0012.jpg,8,7.2,7.4,8.4,7.6
data\raw_slabs\synth_08_0013.jpg,8,8.2,7.9,8.1,7.9
data\raw_slabs\synth_08_0014.jpg,8,8.5,7.7,8.4,7.5
data\raw_slabs\synth_08_0015.jpg,8,7.5,7.2,7.4,7.2
data\raw_slabs\synth_08_0016.jpg,8,8.1,8.5,7.4,7.4
data\raw_slabs\synth_08_0017.jpg,8,8.0,8.4,9.0,8.0
data\raw_slabs\synth_08_0018.jpg,8,7.6,7.2,7.4,7.5
data\raw_slabs\synth_08_0019.jpg,8,7.4,7.0,8.1,7.5
data\raw_slabs\synth_09_0000.jpg,9,9.9,9.1,9.4,8.3
data\raw_slabs\synth_09_0001.jpg,9,9.7,9.0,9.7,9.1
data\raw_slabs\synth_09_0002.jpg,9,8.9,8.9,8.4,8.1
data\raw_slabs\synth_09_0003.jpg,9,9.9,9.0,9.6,8.8
data\raw_slabs\synth_09_0004.jpg,9,8.1,9.3,8.1,8.3
data\raw_slabs\synth_09_0005.jpg,9,9.1,8.6,10.0,8.2
data\raw_slabs\synth_09_0006.jpg,9,9.5,9.2,9.6,8.5
data\raw_slabs\synth_09_0007.jpg,9,9.0,8.9,8.9,9.7
data\raw_slabs\synth_09_0008.jpg,9,10.0,8.6,9.2,9.2
data\raw_slabs\synth_09_0009.jpg,9,9.5,9.9,8.4,8.4
data\raw_slabs\synth_09_0010.jpg,9,9.3,8.3,8.3,8.2
data\raw_slabs\synth_09_0011.jpg,9,8.0,8.9,9.2,8.6
data\raw_slabs\synth_09_0012.jpg,9,8.5,9.4,9.4,8.9
data\raw_slabs\synth_09_0013.jpg,9,9.4,9.8,9.6,9.3
data\raw_slabs\synth_09_0014.jpg,9,9.3,9.9,8.9,9.1
data\raw_slabs\synth_09_0015.jpg,9,9.3,9.8,9.7,8.1
data\raw_slabs\synth_09_0016.jpg,9,8.3,8.6,9.5,9.1
data\raw_slabs\synth_09_0017.jpg,9,8.6,8.2,9.4,9.4
data\raw_slabs\synth_09_0018.jpg,9,9.9,9.0,9.0,8.2
data\raw_slabs\synth_09_0019.jpg,9,8.1,8.9,8.6,8.5
data\raw_slabs\synth_10_0000.jpg,10,9.2,10.0,10.0,10.0
data\raw_slabs\synth_10_0001.jpg,10,10.0,10.0,10.0,9.5
data\raw_slabs\synth_10_0002.jpg,10,9.1,10.0,9.9,10.0
data\raw_slabs\synth_10_0003.jpg,10,10.0,9.4,10.0,10.0
data\raw_slabs\synth_10_0004.jpg,10,10.0,9.2,9.7,9.7
data\raw_slabs\synth_10_0005.jpg,10,10.0,10.0,9.7,10.0
data\raw_slabs\synth_10_0006.jpg,10,9.6,10.0,10.0,10.0
data\raw_slabs\synth_10_0007.jpg,10,9.9,9.6,9.6,10.0
data\raw_slabs\synth_10_0008.jpg,10,9.8,10.0,10.0,10.0
data\raw_slabs\synth_10_0009.jpg,10,10.0,9.8,9.4,9.7
data\raw_slabs\synth_10_0010.jpg,10,10.0,10.0,10.0,9.4
data\raw_slabs\synth_10_0011.jpg,10,10.0,10.0,9.9,10.0
data\raw_slabs\synth_10_0012.jpg,10,9.2,10.0,10.0,9.5
data\raw_slabs\synth_10_0013.jpg,10,9.3,10.0,10.0,9.2
data\raw_slabs\synth_10_0014.jpg,10,10.0,10.0,9.9,9.2
data\raw_slabs\synth_10_0015.jpg,10,10.0,10.0,10.0,10.0
data\raw_slabs\synth_10_0016.jpg,10,9.5,10.0,10.0,9.5
data\raw_slabs\synth_10_0017.jpg,10,10.0,9.8,10.0,10.0
data\raw_slabs\synth_10_0018.jpg,10,10.0,10.0,9.6,10.0
data\raw_slabs\synth_10_0019.jpg,10,9.8,10.0,10.0,10.0
data\raw_slabs\ebay_197592070952.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127787905159.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406824033372.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147241825466.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_388713952134.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236742397264.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_188044535787.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444911277.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397802192545.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_306486308476.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257448783954.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_388832143752.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287257427062.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_256883431721.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444618004.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277617888091.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444917837.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157273806460.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444566220.webp,4,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287105376384.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444569921.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287257442199.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257446367504.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257446370838.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257446377138.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257446302582.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444583814.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227283140883.webp,4,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187626191888.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_276069108208.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_137123422423.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397657323730.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168284261506.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397773324450.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297533994305.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187680117192.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287051351830.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_206101408225.webp,4,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_306847690974.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336505944054.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406817899399.webp,6,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287177536164.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277829112074.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277829109685.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277829096435.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277829085146.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_224580500313.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_167902943093.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287219751850.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358198727605.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_205955956117.webp,7,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389511655166.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187657316769.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397676229812.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_353990464434.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187646840194.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_205943236727.webp,6,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389762944875.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287081971553.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227246686875.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_326478531114.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187626144818.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_145846346469.webp,4,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198133833009.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267568753204.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117098794492.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327032568231.webp,7,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187567194970.webp,7,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127615691246.webp,6,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177943331099.webp,6,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226764285714.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287008753230.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786204864.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786201184.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786198642.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786172185.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786163659.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786133070.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786128938.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287182392196.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277785998420.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277785994020.webp,8,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257078674323.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_266262671203.webp,5,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_224580501033.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287179697079.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187600027680.webp,9,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187571684532.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287179646386.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287081978852.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_167877714038.webp,6,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366152763721.webp,7,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267597051093.webp,10,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157420905836.webp,6,1.0,1.0,1.0,1.0
